	0
111	Det skyldes ikke mindst det forpligtende samarbejde i EU, og derfor skal vi værne om det europæiske samarbejde, og vi skal ændre det, der ikke virker.
112	Vi har brug for et praktisk og fornuftigt samarbejde, som fokuserer på de opgaver, der kun kan løses i fællesskab, og som ikke blander sig i alle mulige ting, som medlemslandene klarer bedre selv.
113	Jeg og regeringen vil arbejde for et EU, der får gang i væksten igen – et EU, som får styr på sine ydre grænser og kontrol med indvandringen i EU, et EU, som styrker landenes samarbejde om sikkerhed.
114	Og her er det helt afgørende, at dansk politi fortsat kan arbejde tæt sammen med deres europæiske kolleger og fortsat har adgang til de nødvendige data i kampen mod alvorlige forbrydelser.
115	Regeringen arbejder benhårdt på at få en dansk særaftale om Europol – en aftale, der sikrer dansk politi samme operationelle muligheder som i dag, for i en usikker verden må vi passe på Danmark.
116	Det gør vi bedst i samarbejde med andre, med EU og NATO.Men vi skal også gøre mere selv, og derfor skal der investeres flere penge i politiet, i forsvaret og i beredskabet i indsatsen mod terror.
117	Der skal være flere ressourcer til dem, som passer på os.
118	Vi vil afsætte et milliardbeløb til at styrke den nationale sikkerhed.
119	Det er en del af regeringens helhedsplan for et stærkere Danmark.
120	Danmark samarbejder i Europa og i verden, men der er to lande, som vi er særligt knyttet til, og det er Færøerne og Grønland.
121	Rigsfællesskabet er et unikt fællesskab.
122	Det er et fællesskab, der bygger på respekt for, at vi er forskellige.
123	Det vil vi gerne arbejde for gennem dialog om forfatningen.
124	Vi deltager også gerne i en dialog om den økonomiske situation.
125	Den er forskellig på Færøerne og i Grønland.
126	Lige nu har begge lande gode konjunkturer, men der er store udfordringer på lidt længere sigt.
127	Vi lægger op til at understøtte selvstyrets arbejde for børn og unge i Grønland, ligesom vi vil styrke indsatsen for udsatte grønlændere i Danmark.
128	Vi skal være stolte af rigsfællesskabet.
129	Vi giver plads til forskellighed, men vi deler en fælles kerne.
130	Det blev bekræftet på rigsmødet i Grønland i foråret.
131	Vi har en tradition for sammen at finde løsninger, der løfter os alle op.
132	Og det skal vi også gøre herhjemme: finde fælles løsninger, der løfter os, løfter os som folk, løfter os som nation.
133	Vi har et stærkt grundlag at bygge på – det forpligter.
134	Det er nu, vi rettidigt kan gennemføre små forandringer og opnå store forbedringer.
135	Vi skal aflevere et Danmark videre til næste generation, der er stærkere end det, vi selv overtog.
136	Det er sådan set det, der er kernen i regeringens helhedsplan.
137	Da regeringen trådte til, satte jeg fire pejlemærker på de områder, hvor det er min ambition at flytte Danmark, og vi har allerede nået en del.
138	Helhedsplanen vil kunne bringe os et godt stykke videre.
139	Det første pejlemærke er en realistisk og konsekvent udlændingepolitik.
140	Da vi åbnede Folketinget for et år siden, var der gået hul på Europa.
141	Regeringens politik er udtryk for en balance.
142	Vi er realistiske.
143	Vi strammer op.
144	Og vi gør det på en ordentlig måde.
145	Vi har været med til at flytte diskussionen i Europa.
146	Nu er alle i EU – alle – enige om, at vi ikke igen vil opleve den ukontrollable tilstrømning af flygtninge og migranter, som vi så sidste år.
147	Flygtningestrømmen til Grækenland er bragt ned fra over 100.000 flygtninge i august sidste år til 3.500 i august i år.
148	Herhjemme har vi gennemført nødvendige stramninger og ikke mindst en ny integrationsydelse, fordi vi mener, at det er rimeligt, og for at færre skal komme hertil.
149	Det har virket.
150	Vi har bremset op.
151	Sidste år blev der rejst telte for at få plads til asylansøgerne.
152	Nu lukker teltlejrene ned igen.
153	Sidste år kom der over 21.000 asylansøgere til Danmark.
154	I år er der pr. 1. oktober kommet godt 5.000. Og i øjeblikket er antallet lavere end i nogen måned gennem de seneste 5 år.
155	Det har ikke været lavere, siden jeg sidst var statsminister.
156	Så nu skal vi holde fast.
157	Og derfor fortsætter vi med at stramme vilkårene for dem, vi lukker ind.
158	Vi vil indføre en nødbremse, så Danmark kan afvise asylansøgere ved grænsen, hvis der opstår en krisesituation, der sætter de danske grænser under pres.
159	For vi må ikke og vi vil ikke igen opleve en situation, som ligner den i september sidste år.
160	Men det afskærer os ikke fra at hjælpe, tværtimod.
161	Danmark er et af kun seks lande, der lever op til FN's målsætning om udviklingsbistand.
162	Vi bidrager til en ny verdensmålsfond, der skal investere milliarder i bedre levevilkår i udviklingslandene.
163	Vi er suverænt blandt de største nødhjælpsdonorer i verden i forhold til vores størrelse.
164	Og nu gør vi endnu mere, fordi vi kan endnu mere.
165	Regeringen vil styrke den danske nærområdeindsats, så der bliver flere penge til humanitær hjælp end nogen sinde før.
166	Det er netop muligt, fordi vi har strammet udlændingepolitikken, fordi vi har indført integrationsydelsen.
167	Når udgifterne til asylansøgere falder i Danmark, har vi råd til at hjælpe flere tæt på hjemlandet.
168	Og for mig giver det indlysende mere mening at hjælpe flygtningene i Jordan eller Libanon end i Danmark.
169	Danmark giver udviklingsbistand i verdensklasse.
170	Vi er med til at modvirke, at mennesker må flygte på grund af vold og undertrykkelse.
171	Danmark har i årtier kæmpet for menneskerettigheder.
172	Og vi har en klar interesse i en stærk international retsorden.
173	Det skal vi holde fast i.
174	Men der er brug for en moderne forståelse af de konventioner, vi var med til at forme for år tilbage.
175	Og derfor vil vi se kritisk på de dele af den europæiske menneskerettighedskonvention, hvor fortolkningen er gået for langt.
176	Vi skal tilbage til kernen.
177	Regeringen fører en realistisk og konsekvent udlændingepolitik.
178	Det er mit første pejlemærke mod et stærkere Danmark.
179	Mit andet pejlemærke er, at det bedre skal kunne betale sig at arbejde.
180	Flere skal forsørge sig selv.
181	Der skal være en fair balance mellem lønnen ved at knokle og det, man får ved at blive hjemme.
182	Alt andet er uholdbart.
183	Derfor har vi indført kontanthjælpsloftet, derfor har vi indført 225-timersreglen.
184	Og jeg ved godt, at en enlig mor på kontanthjælp kan være hårdt spændt for.
185	Jeg gør mig ingen illusioner om, at det er nemt at være forsørger på kontanthjælp.
186	Men svaret er ikke en højere ydelse.
187	Svaret er, at hun kommer i arbejde.
188	Hver gang et menneske tager skridtet fra kontanthjælp til arbejde, er det en socialpolitisk landvinding for hende selv, for hendes børn.
189	Derfor skal det kunne betale sig at arbejde, og derfor tager vi skridtet videre med den anden fase af jobreformen.
190	Den er klart målrettet beskæftigede med lave indkomster.
191	Vi vil indføre et målrettet jobfradrag og en midlertidig jobpræmie til langtidsledige, der kommer i arbejde.
192	Jobpræmien kan udbetales i 18 måneder, og den kan udgøre op til 45.000 kr.
193	Så kan det betale sig at arbejde.
194	I regeringens jobreform sænker vi skatten på arbejde, en del i toppen, meget i bunden, og vi giver allermest til de langtidsledige, der kommer i job.
195	Vi skal have gang i den vækst, der er hele grundlaget for flere og bedre arbejdspladser, grundlaget for større muligheder i vores fremtid.
196	Det er mit tredje pejlemærke.
197	I dag investeres der for lidt i Danmark.
198	I dag foretages for stor en del af de danske erhvervsinvesteringer i udlandet.
199	Vi skal have flere investeringer i Danmark, fordi vi ellers bremser nyskabelsen og hæmmer aktiviteten og produktiviteten – så går vi glip af arbejdspladser.
200	Derfor skal det være mere attraktivt at investere aktivt i Danmark.
201	Derfor vil vi indføre et fradrag for ny egenkapital.
202	Derfor vil vi give et ekstra fradrag for merinvesteringer i forskning og udvikling.
203	Og derfor vil vi gøre det lettere for iværksættere og vækstvirksomheder at finansiere deres ideer.
204	Danske virksomheder, danske investorer skal have mere attraktive vilkår for at vise, at de er de bedste.
205	Og det er de på mange punkter, bl.a. inden for grøn teknologi og energiløsninger.
206	Den position skal vi fastholde.
207	Det gør vi med en ambitiøs klima- og energipolitik, og derfor vil et af de allerførste forslag, som Folketinget skal behandle i denne samling, være ratifikation af aftalen fra klimatopmødet i Paris.
208	Men den grønne omstilling skal være robust, og derfor skal den også være realistisk.
209	Derfor vil vi nedbringe regningen for grøn energi og – ikke mindst – opkræve regningen på en mere effektiv måde.
210	Det er jo derfor, vi vil gøre det mere attraktivt for højtuddannede eksperter, ingeniører og teknikere at arbejde i Danmark – det er derfor, topskatten skal ned.
211	Vi vil afsætte milliarder i en ny kompetencepulje til at løfte danskernes kompetencer, det er en del af helhedsplanen.
212	Og vi tager fat på det problem, at danske virksomheder vil mangle faglært arbejdskraft i fremtiden.
213	For det første har vi sammen med fagbevægelsen og arbejdsgiverne sat et fælles mål om at skabe mange flere praktikpladser, især på de områder, hvor behovet for arbejdskraft er størst.
214	Det er allerede aftalt i trepartsdrøftelserne, det er i gang.
215	Det er også allerede aftalt.
216	Det tredje skridt bliver bedre voksen- og efteruddannelse til dem, der er i arbejde.
217	Det tager vi fat på i forårets trepartsdrøftelser.
218	Jeg lægger stor vægt på, at disse ting aftales med arbejdsmarkedets parter, lønmodtagere og arbejdsgivere.
219	Tak for det.
220	Enhver generation står på skuldrene af den forrige.
221	Jeg er født ind i det danske velfærdssamfund, jeg er vokset op i mulighedernes Danmark, og som rigtig mange af mine jævnaldrende blev jeg familiens første student, første akademiker.
222	Jeg er stolt over at leve i et land med gratis uddannelser, tryg sundhed, omsorg for de ældre, en moderne offentlig sektor, der er til for borgerne og ikke for sig selv.
223	Så en bedre kernevelfærd er mit fjerde pejlemærke.
224	Jeg tror, at vi alle sammen har været tæt på kræft.
225	Min egen far døde af kræft for få år siden.
226	Jeg håber, at de mennesker, der i fremtiden kommer i hans situation, kan leve længere.
227	Flere lever længere, og det er godt.
228	Men en dansker med kræft lever stadig væk kortere tid end en svensker med kræft.
229	Og det er ikke godt nok.
230	I kræftplan IV sætter vi det mål, at overlevelsen i 2025 skal være på niveau med de bedste af vores nordiske naboers.
231	Det er ambitiøst, men det er også, hvad danskerne med rimelighed kan forvente.
232	Vi sætter mennesket før systemet.
233	Det gælder også mennesker, der bor på plejehjem.
234	De skal have mere frihed til at bestemme over deres egen hverdag, for det øger livsglæden.
235	Det er en del af en værdig og en tryg alderdom.
236	Barndommen skal også være tryg.
237	Regeringen vil styrke dagtilbuddene, så vores børn får en god start på livet.
238	De små mennesker skal både trives, udvikle sig og blive parate til skolen.
239	I gør alle et fantastisk arbejde for andre, der er dybt afhængige af jer, og det skal I have tak for.
240	Det er en pulje, vi bygger op med penge, som skabes af de ansvarlige forslag i planen.
241	Og de partier i Folketinget, der vil være med til at tage et ansvar, skal også være med til at fordele pengene.
242	Det synes jeg er rimeligt.
243	Vi forvalter borgernes penge.
244	Og så skal vi investere både i trafik og i digital infrastruktur.
245	Og det kan vi kun gøre, fordi vi øger råderummet.
246	Der er altså arbejde, der skal gøres, regninger, der skal betales, og det helt uanset hvem der er statsminister.
247	Og hvis der skal være råd til mere efter det, når de bundne opgaver er løst, så skal der flere penge i kassen.
248	For 15 måneder siden overtog vi en offentlig økonomi med mange ubetalte regninger og med en fremtidig udfordring, når de store årgange går på pension.
249	Der venter betydelige offentlige underskud i horisonten, hvis ikke vi gør noget.
250	Det er så også derfor, vi gør noget.
251	For alle andre ændrer vi ikke noget.
252	For dem, der er yngre, født senere, og dem, der er ældre, er reglerne fuldstændig de samme som før, men vi skaffer penge til fremtidens velfærd.
253	Det er ansvarligt.
254	Og så lægger vi nogle af de sparede penge i en kompetencepulje til bedre uddannelse.
255	Det er ansvarligt.
256	Regeringens forslag summer op til, at vi har dobbelt så mange penge i 2020, som hvis vi lader stå til.
257	Det er ansvarligt.
258	Og det giver plads til en vækst i det offentlige forbrug på 0,5 pct.
259	Jeg gik til valg på nulvækst i det offentlige forbrug, men de bundne opgaver kan ikke vente.
260	Vi vil mere end status quo.
261	Og så finder vi pengene i stedet for at sidde på hænderne.
262	Andre gik til valg på noget andet.
263	Nogle gik til valg på en offentlig vækst på 0,6 pct. om året. 0,5 pct. eller 0,6 pct., 5 promille eller 6 promille – er det som nat og dag? Er det forskellen på himmel og helvede? Det synes jeg ikke.
264	Er det her, den store forskel manifesterer sig i dansk politik? 5 promille eller 6 promille? Nej, det er det vel egentlig ikke.
265	Den reelle forskel er, om der er penge i kassen, om der er råd til de 0,5 eller de 0,6 pct.
266	For der skal være rigtige penge bag, når vi skal løse rigtige problemer for rigtige mennesker: ny kræftmedicin, plejehjem til demente, mere efteruddannelse.
267	Det er sådan set det, der står på spil.
268	Hvis ikke man gør noget for at skaffe pengene, har man heller ikke nogen penge at bruge, for der findes ingen gratis omgang.
269	Jeg tror ikke, at man kan beskylde mig for ikke at have efterlevet min mors råd.
270	Nogle vil måske mene, at jeg har efterlevet det lige grundigt nok, men som politikere er vi altså nødt til at gøre det, vi mener er rigtigt og ansvarligt.
271	Vi skal passe på med ikke at undervurdere danskerne.
272	Jeg tror sådan set godt, at de kan gennemskue politikernes gavementalitet.
273	De ved godt, at vi skal tjene pengene, før vi kan bruge dem.
274	Det gælder for det offentlige budget, fuldstændig som det gælder for familiernes eget.
275	Og derfor køber jeg heller ikke den falske modsætning mellem velfærd og skattelettelser.
276	Regeringens politik er både-og.
277	Vi har brug for en helhedsplan, så vi har råd til at udvikle Danmark – arbejdspladser, uddannelser, bedre politi og beredskab, lavere skat, højere velfærd, større fremgang.
278	Kort sagt: ambitioner på Danmarks vegne.
279	Vi skal også have så meget luft i budgettet, at vi kan lægge et stort milliardbeløb til side til fremtiden, for vi ønsker ikke at efterlade en ubetalt regning i børneværelset.
280	Vi vil hellere oprette en børneopsparing til næste generation, ja, faktisk hele to: en tryghedsreserve til uforudsete udgifter og en reserve til tryghed for boligejerne.
281	For det er jo velkendt, og har været det i en årrække, at en af de bundne opgaver – en opgave, vi har arvet – er et nyt vurderingssystem.
282	De ejendomsvurderinger, vi har i dag, rammer i mange tilfælde skævt, og så kan skatten også blive skæv.
283	Der er eksempler på, at ens huse er vurderet forskelligt, selv om de ligger på samme vej.
284	Det er jo altså utrygt for den enkelte, det er for dårligt, det skal vi gøre bedre.
285	Ingen må blive beskattet ud af sin bolig.
286	Der skal være tryghed for boligejerne.
287	Derfor fremlægger vi i morgen både et nyt og bedre vurderingssystem og et nyt forslag til boligbeskatning.
288	I dag vil jeg nævne tre vigtige elementer i regeringens udspil.
289	For det første er det et nyt, forbedret skattestop.
290	Vi skabte jo selv skattestoppet i 2001, og vi gjorde det med det sigte at skabe tryghed for boligejerne.
291	Det var godt, men det har vist sig at være langt fra godt nok.
292	De samlede ejendomsskatter er vokset med 18 mia. kr. siden 2001 på trods af skattestoppet, og mange betaler i dag langt mere i skat, end de lagde budget efter, dengang de købte deres bolig.
293	Nogle har slet ikke råd til at blive boende i deres eget hjem på trods af skattestoppet.
294	Og hvis ikke vi gør noget, hvis ikke vi forbedrer skattestoppet, så vil boligskatterne frem til 2040 reelt stige med yderligere 10 mia. kr. på trods af skattestoppet.
295	Det er altså ikke tilstrækkelig tryghed – tværtimod.
296	Derfor skal vi have et nyt, forbedret skattestop, så boligejerne får en reel tryghed.
297	For det andet sætter vi skatteprocenterne ned.
298	Det ønsker regeringen ikke.
299	Nye vurderinger skal ikke være en pengemaskine, og derfor vil vi sænke både grundskyldssatsen og ejendomsværdisatsen.
300	Det betyder, at de samlede boligskatter reduceres i mange år frem, og det kan vi gøre, fordi vi har penge til det med den reserve på 24 mia. kr., som vi har fundet plads til i helhedsplanen.
301	For det tredje vil vi øge trygheden for nuværende boligejere.
302	Som det er nu, står mange boligejere over for kraftige stegninger i grundskylden mange år frem.
303	De stigninger, som ligger efter 2020, vil vi, når vi har indført det nye system, aflyse.
304	I morgen vil vi i regeringen fremlægge vores konkrete udspil, ligesom vi inden da har inviteret partierne til en grundig orientering.
305	Vi har et ansvar for at skabe tryghed for boligejerne, både for dem, der ejer deres bolig i dag, og for de nye generationer.
306	Vi skal løse problemerne.
307	Vi skal styrke trygheden.
308	Vi skal drive fremgangen.
309	Siden sidste år er der kommet tusindvis af nye private job, tusindvis færre på overførselsindkomst.
310	Vi har fremgang i alle dele af landet.
311	Mennesker kommer i arbejde, får mere at stå op til, nyt håb og større muligheder.
312	Flygtningestrømmen er bremset.
313	Kommuner og regioner har flere penge til sundhed og ældre.
314	Så alt i alt går det ikke så dårligt.
315	Udfordringerne forsvinder ikke, fordi vi lukker øjnene for en stund, for når vi åbner dem igen, er de der endnu, og de har bare vokset sig større.
316	De danskere, jeg har mødt, når jeg på det seneste har været rundt i landet for at diskutere helhedsplanen, ser ind i fremtiden med begge øjne åbne på samme tid.
317	De er sådan set ikke bange for at fortælle, hvad der bekymrer dem, eller for at tage ansvar.
318	Og vores opgave her i Folketinget er at give dem muligheden for at drømme større, stile højere, nå længere.
319	Det er muligt, at fremtiden kommer af sig selv.
320	Men den fremtid, vi ønsker, kommer ikke af sig selv, den skaber vi sammen: et friere Danmark, et rigere Danmark, et stærkere Danmark.
321	Lad os indlede det nye folketingsår med at udbringe et leve for vores land og for Danmarks fremtid.
322	Danmark leve!(Trefoldigt hurraråb fra salen).
323	Tak til statsministeren for åbningsredegørelsen, den vil jo komme til debat på torsdag.
324	Mødet er åbnet.
325	Der er ikke mere at foretage i det her møde, udover at jeg gerne vil sige tak til alle for dagens indsats i folkestyrets tjeneste.
326	Folketingets næste møde afholdes i morgen, fredag den 5. maj 2017, kl. 10.00.Jeg henviser til den dagsorden, der fremgår af Folketingets hjemmeside.
327	Forhandlingen er sluttet, og vi går til afstemning om de fremsatte forslag til vedtagelse.
328	Der foreligger to forslag.
329	Der stemmes først om forslag til vedtagelse nr. V 93 af Pernille Bendixen (DF), Anni Matthiesen (V), Laura Lindahl (LA) og Orla Østerby (KF).Afstemningen er slut.
330	For stemte 56 (DF, V, LA og KF), imod stemte 53 (S, EL, ALT, RV og SF), hverken for eller imod stemte 0.Forslag til vedtagelse nr. V 93 er vedtaget.
331	Herefter er forslag til vedtagelse nr. V 92 af Jacob Mark (SF), Ane Halsboe-Jørgensen (S), Jakob Sølvhøj (EL), Rasmus Nordqvist (ALT) og Lotte Rod (RV) bortfaldet.
332	Hermed er forespørgslen afsluttet.
333	Der er ikke stillet ændringsforslag.
334	Er der nogen, der ønsker at udtale sig?Da det ikke er tilfældet, går vi til afstemning.
335	Der stemmes om lovforslagets endelige vedtagelse.
336	Afstemningen er slut.
337	For stemte 113 (S, DF, V, EL, LA, ALT, RV, SF og KF), imod stemte 0, hverken for eller imod stemte 0.Lovforslaget er enstemmigt vedtaget og vil nu blive sendt til statsministeren.
338	Forhandlingen drejer sig i første omgang om det stillede ændringsforslag.
339	Er der nogen, der ønsker at udtale sig?Da det ikke er tilfældet, er forhandlingen om ændringsforslaget sluttet, og vi går til afstemning.
340	Der stemmes om ændringsforslag nr. 1 af Johanne Schmidt-Nielsen (EL), Josephine Fock (ALT), Sofie Carsten Nielsen (RV) og Holger K. Nielsen (SF).Afstemningen er slut.
341	For stemte 24 (EL, ALT, RV og SF), imod stemte 88 (S, DF, V, LA og KF), hverken for eller imod stemte 0.Ændringsforslaget er forkastet.
342	Forhandlingerne drejer sig derefter om lovforslaget som helhed.
343	Ønsker nogen at udtale sig om lovforslaget?Da det ikke er tilfældet, går vi til afstemning.
344	Der stemmes om lovforslagets endelige vedtagelse.
345	Afstemningen er slut.
346	For stemte 88 (S, DF, V, LA og KF), imod stemte 24 (EL, ALT, RV og SF), hverken for eller imod stemte 0.Lovforslaget er vedtaget og vil nu blive sendt til statsministeren.
347	Der er ikke stillet ændringsforslag.
348	Er der nogen, der ønsker at udtale sig?Da det ikke er tilfældet, går vi til afstemning.
349	Der stemmes om forslagets endelige vedtagelse.
350	Afstemningen er slut.
351	For stemte 23 (DF), imod stemte 87 (S, V, EL, LA, ALT, RV, SF og KF), hverken for eller imod stemte 0.Forslaget til folketingsbeslutning er forkastet.
352	Hr.
353	Holger K. Nielsen har bedt om ordet.
354	Værsgo.
355	Vi er tilhængere af, at man i specielle tilfælde skal kunne gøre brug af den her foranstaltning, altså nødbremsen, som den kaldes.
356	Vi har stillet nogle ændringsforslag, og bliver de vedtaget, vil vi også stemme for.
357	Det har jeg ikke den store forventning om, så derfor vil jeg godt lige gøre opmærksom på en ting i det her, som jeg synes er principiel, og det er derfor, jeg tager det op.
358	Det, som man jo gør med det her lovforslag, er at give regeringen en bemyndigelse, som den kan bruge på et senere tidspunkt.
359	Den har man også i andre lande, f.eks. i Norge, og der har man jo trods alt opstillet nogle kriterier for, hvordan man kan bruge denne bemyndigelse.
360	Det er der ikke her.
361	Her er den fuldstændig ubegrænset.
362	Og der vil jeg godt sige til Folketinget, at der jo er tale om en meget, meget vidtgående overførsel af magt fra Folketinget til regeringen.
363	Det er meget, meget vidtgående.
